"","MONTH","OP_CARRIER","ORIGIN","DEP_DELAY"
"847",1,"WN","PDX",0
"848",1,"WN","PDX",28
"849",1,"WN","PDX",-4
"850",1,"WN","PDX",-3
"851",1,"WN","PDX",14
"852",1,"WN","PDX",4
"853",1,"WN","PDX",-2
"854",1,"WN","PDX",-2
"855",1,"WN","PDX",-3
"856",1,"WN","PDX",-4
"857",1,"WN","PDX",57
"858",1,"WN","PDX",-1
"859",1,"WN","PDX",-1
"860",1,"WN","PDX",-1
"861",1,"WN","PDX",18
"862",1,"WN","PDX",2
"863",1,"WN","PDX",-4
"864",1,"WN","PDX",NA
"865",1,"WN","PDX",-2
"866",1,"WN","PDX",-2
"867",1,"WN","PDX",-2
"868",1,"WN","PDX",-5
"869",1,"WN","PDX",-6
"870",1,"WN","PDX",2
"871",1,"WN","PDX",2
"872",1,"WN","PDX",1
"873",1,"WN","PDX",2
"874",1,"WN","PDX",-1
"875",1,"WN","PDX",-4
"876",1,"WN","PDX",-1
"877",1,"WN","PDX",-5
"878",1,"WN","PDX",1
"879",1,"WN","PDX",2
"880",1,"WN","PDX",-1
"881",1,"WN","PDX",-6
"882",1,"WN","PDX",0
"883",1,"WN","PDX",-2
